Report_Year,Data_Year,Category_Type,Category_Value,Count
2010,2000,Age,"=""25-34""",3780000
2010,2000,Age,"=""18-24""",1290000
2010,2000,Age,"=""Under 18""",1230000
2014,2007,Age,"=""11-20""",3950000
2010,2007,Age,"=""25-34""",2300000
2010,2007,Age,"=""18-24""",820000
2010,2007,Age,"=""Under 18""",650000
2009,2009,Age,"=""25-34""",3650000
2009,2009,Age,"=""35-44""",2930000
2009,2009,Age,"=""18-24""",1410000
2009,2009,Age,"=""Under 18""",1320000
2009,2009,Age,"=""45-54""",1040000
2012,2010,Age,"=""25-34""",2050000
2012,2010,Age,"=""35-44""",1750000
2012,2010,Age,"=""18-24""",880000
2012,2010,Age,"=""45-54""",650000
2012,2010,Age,"=""Under 18""",580000
2011,2011,Age,"=""25-34""",3730000
2011,2011,Age,"=""35-44""",3070000
2011,2011,Age,"=""18-24""",1610000
2011,2011,Age,"=""Under 18""",1350000
2011,2011,Age,"=""45-54""",1290000
2012,2012,Age,"=""25-34""",3660000
2012,2012,Age,"=""35-44""",3320000
2012,2012,Age,"=""18-24""",1410000
2012,2012,Age,"=""45-54""",1400000
2012,2012,Age,"=""Under 18""",1120000
2014,2014,Age,"=""11-20""",6090000
2014,2014,Age,"=""25-34""",3710000
2014,2014,Age,"=""35-44""",3670000
2014,2014,Age,"=""45-54""",1720000
2014,2014,Age,"=""18-24""",1240000
2014,2014,Age,"=""Under 18""",1060000
2015,2015,Age,"=""25-34""",3500000
2015,2015,Age,"=""35-44""",3440000
2015,2015,Age,"=""45-54""",1620000
2015,2015,Age,"=""18-24""",1180000
2015,2015,Age,"=""Under 18""",1130000
2015,2015,Age,"=""55 And Over""",560000
2015,2016,Age,"=""35-44""",3670000
2015,2016,Age,"=""25-34""",3400000
2015,2016,Age,"=""45-54""",1800000
2015,2016,Age,"=""18-24""",1080000
2015,2016,Age,"=""Under 18""",1040000
2015,2016,Age,"=""55 And Over""",770000
2015,2017,Age,"=""35-44""",3600000
2015,2017,Age,"=""25-34""",3130000
2015,2017,Age,"=""45-54""",1900000
2015,2017,Age,"=""Under 18""",1080000
2015,2017,Age,"=""18-24""",960000
2015,2017,Age,"=""55 And Over""",750000
2018,2018,Age,"=""35-44""",3630000
2015,2018,Age,"=""25-34""",2940000
2018,2018,Age,"=""45-54""",2040000
2015,2018,Age,"=""Under 18""",1120000
2018,2018,Age,"=""18-24""",990000
2018,2018,Age,"=""55 And Over""",890000
2018,2019,Age,"=""35-44""",3480000
2018,2019,Age,"=""25-34""",2700000
2018,2019,Age,"=""45-54""",2100000
2018,2019,Age,"=""Under 18""",1050000
2018,2019,Age,"=""18-24""",940000
2018,2019,Age,"=""55 And Over""",830000
2018,2020,Age,"=""35-44""",3330000
2018,2020,Age,"=""25-34""",2420000
2018,2020,Age,"=""45-54""",2110000
2018,2020,Age,"=""Under 18""",1010000
2018,2020,Age,"=""18-24""",840000
2018,2020,Age,"=""55 And Over""",820000
2018,2022,Age,"=""35-44""",3380000
2018,2022,Age,"=""45-54""",2420000
2018,2022,Age,"=""25-34""",2120000
2018,2022,Age,"=""Under 18""",1230000
2018,2022,Age,"=""55 And Over""",1080000
2018,2022,Age,"=""18-24""",760000
